,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
1788,,DCA,Department of Consumer Affairs,3033000008,BROOKLYN,,,BROOKLYN,2020-03-25T11:35:35.000,04 BROOKLYN,Consumer Complaint,2020-03-24T12:49:30.000,GREENE AVENUE,MYRTLE AVENUE,Retail Store,,,457 KNICKERBOCKER AVENUE,11237,GREENE AVENUE,MYRTLE AVENUE,KNICKERBOCKER AVENUE,40.698949261270485,"{'type': 'Point', 'coordinates': [-73.91858561727857, 40.698949261270485]}",,,,Commercial Building,,-73.91858561727857,ONLINE,BROOKLYN,Unspecified,2020-03-25T15:35:38.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,KNICKERBOCKER AVENUE,,45889411,,1006825,193933
1789,,NYPD,New York City Police Department,3053780031,BROOKLYN,,,BROOKLYN,2020-03-25T05:22:37.000,12 BROOKLYN,Illegal Parking,2020-03-24T12:49:30.000,AVENUE C,CORTELYOU ROAD,Blocked Sidewalk,,,724 CONEY ISLAND AVENUE,11218,AVENUE C,CORTELYOU ROAD,CONEY ISLAND AVENUE,40.640090192501034,"{'type': 'Point', 'coordinates': [-73.96902316811077, 40.640090192501034]}",,,,Street/Sidewalk,,-73.96902316811077,ONLINE,BROOKLYN,Unspecified,2020-03-25T09:22:40.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,CONEY ISLAND AVENUE,,45888659,,992847,172480
1790,,DCA,Department of Consumer Affairs,3044130001,BROOKLYN,,,BROOKLYN,2020-03-25T13:06:08.000,05 BROOKLYN,Consumer Complaint,2020-03-24T12:49:34.000,COZINE AVENUE,FLATLANDS AVENUE,Bodega/Deli/Supermarket,,,1115 PENNSYLVANIA AVENUE,11207,COZINE AVENUE,FLATLANDS AVENUE,PENNSYLVANIA AVENUE,40.65336176196605,"{'type': 'Point', 'coordinates': [-73.88672121414716, 40.65336176196605]}",,,,,,-73.88672121414716,PHONE,BROOKLYN,Unspecified,2020-03-25T17:06:12.000,"Unfortunately, the behavior that you complained about does not violate any law or rule. As a result,",,Closed,PENNSYLVANIA AVENUE,,45887248,,1015682,177334
1791,ADDRESS,HPD,Department of Housing Preservation and Development,3030430017,BROOKLYN,,,BROOKLYN,,01 BROOKLYN,PLUMBING,2020-03-24T12:49:38.000,,,WATER SUPPLY,,,142 SCHOLES STREET,11206,,,,40.70873026916317,"{'type': 'Point', 'coordinates': [-73.94391953644423, 40.70873026916317]}",,,,RESIDENTIAL BUILDING,,-73.94391953644423,ONLINE,BROOKLYN,Unspecified,2020-03-24T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,SCHOLES STREET,,45886893,,999798,197491
1792,,DCA,Department of Consumer Affairs,2022947501,BRONX,,,BRONX,,01 BRONX,Consumer Complaint,2020-03-24T12:49:42.000,BERGEN AVENUE,BROOK AVENUE,Retail Store,,,459 EAST  149 STREET,10455,BERGEN AVENUE,BROOK AVENUE,EAST  149 STREET,40.81536300571421,"{'type': 'Point', 'coordinates': [-73.9159468263452, 40.81536300571421]}",,,,,,-73.9159468263452,PHONE,BRONX,Unspecified,,,,In Progress,EAST  149 STREET,,45889424,,1007516,236347
1793,,NYPD,New York City Police Department,2034580162,BRONX,,,BRONX,2020-03-24T18:59:59.000,09 BRONX,Illegal Parking,2020-03-24T12:49:50.000,GILDERSLEEVE AVENUE,DEAD END,Blocked Hydrant,,,223 PUGSLEY AVENUE,10473,GILDERSLEEVE AVENUE,DEAD END,PUGSLEY AVENUE,40.81009776108385,"{'type': 'Point', 'coordinates': [-73.85228094336642, 40.81009776108385]}",,,,Street/Sidewalk,,-73.85228094336642,ONLINE,BRONX,Unspecified,2020-03-24T23:00:03.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,PUGSLEY AVENUE,,45888050,,1025142,234452
1794,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,,01 BROOKLYN,Street Light Condition,2020-03-24T12:50:00.000,,,Street Light Out,,,,11222,THOMAS STREET,GARDNER AVENUE,,40.72623802685749,"{'type': 'Point', 'coordinates': [-73.93176791891244, 40.72623802685749]}",,,,,,-73.93176791891244,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T12:50:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Assigned,,,45886551,,1003162,203872
1795,ADDRESS,HPD,Department of Housing Preservation and Development,2031600014,BRONX,,,BRONX,2020-03-25T09:18:17.000,05 BRONX,HEAT/HOT WATER,2020-03-24T12:50:31.000,,,ENTIRE BUILDING,,,2076 CRESTON AVENUE,10453,,,,40.85368904676198,"{'type': 'Point', 'coordinates': [-73.90395513624917, 40.85368904676198]}",,,,RESIDENTIAL BUILDING,,-73.90395513624917,MOBILE,BRONX,Unspecified,2020-03-25T09:18:17.000,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",,Closed,CRESTON AVENUE,,45889060,,1010820,250314
1796,ADDRESS,HPD,Department of Housing Preservation and Development,2031430130,BRONX,,,BRONX,2020-03-25T21:27:15.000,05 BRONX,HEAT/HOT WATER,2020-03-24T12:50:54.000,,,APARTMENT ONLY,,,2176 TIEBOUT AVENUE,10457,,,,40.85443910241399,"{'type': 'Point', 'coordinates': [-73.8984233658015, 40.85443910241399]}",,,,RESIDENTIAL BUILDING,,-73.8984233658015,PHONE,BRONX,Unspecified,2020-03-25T21:27:15.000,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,,Closed,TIEBOUT AVENUE,,45889650,,1012350,250589
1797,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,,01 BROOKLYN,Street Light Condition,2020-03-24T12:51:00.000,,,Street Light Out,,,,11222,THOMAS STREET,GARDNER AVENUE,,40.72623802685749,"{'type': 'Point', 'coordinates': [-73.93176791891244, 40.72623802685749]}",,,,,,-73.93176791891244,UNKNOWN,BROOKLYN,Unspecified,2020-03-20T12:51:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Assigned,,,45886550,,1003162,203872
1798,ADDRESS,DEP,Department of Environmental Protection,1013690034,MANHATTAN,,,NEW YORK,2020-03-25T09:00:00.000,06 MANHATTAN,Noise,2020-03-24T12:52:00.000,1 AVE,SUTTON PL,Noise: Construction Equipment (NC1),,N/A,430 EAST   58 STREET,10022,,,,40.75862892778897,"{'type': 'Point', 'coordinates': [-73.96161884124231, 40.75862892778897]}",,,,,,-73.96161884124231,ONLINE,MANHATTAN,Unspecified,2020-03-25T09:00:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,EAST   58 STREET,,45887566,,994883,215668
1799,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,BROOKLYN,2020-03-24T14:25:00.000,11 BROOKLYN,Traffic Signal Condition,2020-03-24T12:52:00.000,,,Controller,,N/A,,11214,20 AVENUE,79 STREET,,40.6085648061208,"{'type': 'Point', 'coordinates': [-73.99413673757837, 40.6085648061208]}",,,,,,-73.99413673757837,UNKNOWN,BROOKLYN,Unspecified,2020-03-24T14:25:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,45886308,,985878,160993
1800,,DCA,Department of Consumer Affairs,1005750011,MANHATTAN,,,NEW YORK,2020-03-25T11:35:35.000,02 MANHATTAN,Consumer Complaint,2020-03-24T12:52:12.000,WEST   11 STREET,WEST   12 STREET,Retail Store,,,476B 6 AVENUE,10011,WEST   11 STREET,WEST   12 STREET,AVENUE OF THE AMERICAS,40.73579899391634,"{'type': 'Point', 'coordinates': [-73.99796486824498, 40.73579899391634]}",,,,,,-73.99796486824498,PHONE,MANHATTAN,Unspecified,2020-03-25T15:35:38.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,6 AVENUE,,45885722,,984814,207348
1801,ADDRESS,DOB,Department of Buildings,3017030064,BROOKLYN,,,BROOKLYN,2020-03-24T12:52:22.000,03 BROOKLYN,Plumbing,2020-03-24T12:52:22.000,,,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,,,805 HERKIMER STREET,11233,,,,40.67840192165786,"{'type': 'Point', 'coordinates': [-73.92678388352863, 40.67840192165786]}",,,,,,-73.92678388352863,UNKNOWN,BROOKLYN,Unspecified,2020-03-24T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,HERKIMER STREET,,45886904,,1004558,186445
1802,ADDRESS,DOB,Department of Buildings,4092650001,QUEENS,,,Kew Gardens,2020-03-24T12:52:22.000,09 QUEENS,Building/Use,2020-03-24T12:52:22.000,,,Illegal Conversion Of Residential Building/Space,,,85-11 LEFFERTS BOULEVARD,11415,,,,40.702486752750566,"{'type': 'Point', 'coordinates': [-73.83198345644185, 40.702486752750566]}",,,,,,-73.83198345644185,UNKNOWN,QUEENS,Unspecified,2020-03-24T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,LEFFERTS BOULEVARD,,45888078,,1030836,195256
1803,,DOHMH,Department of Health and Mental Hygiene,1009340024,MANHATTAN,,,NEW YORK,,06 MANHATTAN,Food Establishment,2020-03-24T12:52:33.000,EAST   28 STREET,EAST   29 STREET,Food Protection,,,491 1 AVENUE,10016,EAST   28 STREET,EAST   29 STREET,1 AVENUE,40.74053118680098,"{'type': 'Point', 'coordinates': [-73.97589424492848, 40.74053118680098]}",,,,Restaurant/Bar/Deli/Bakery,,-73.97589424492848,PHONE,MANHATTAN,Unspecified,,,,In Progress,1 AVENUE,,45889295,,990930,209073
1804,ADDRESS,HPD,Department of Housing Preservation and Development,2046410060,BRONX,,,BRONX,2020-03-25T21:15:54.000,12 BRONX,HEAT/HOT WATER,2020-03-24T12:52:46.000,,,ENTIRE BUILDING,,,635 EAST  211 STREET,10467,,,,40.8785294599549,"{'type': 'Point', 'coordinates': [-73.86864743445872, 40.8785294599549]}",,,,RESIDENTIAL BUILDING,,-73.86864743445872,ONLINE,BRONX,Unspecified,2020-03-25T21:15:54.000,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,,Closed,EAST  211 STREET,,45890334,,1020574,259377
1805,,NYPD,New York City Police Department,3052880061,BROOKLYN,,,BROOKLYN,2020-03-24T19:25:33.000,12 BROOKLYN,Blocked Driveway,2020-03-24T12:53:03.000,10 AVENUE,FT HAMILTON PARKWAY,No Access,,,1045 39 STREET,11219,10 AVENUE,FT HAMILTON PARKWAY,39 STREET,40.64395049418334,"{'type': 'Point', 'coordinates': [-73.99177698979982, 40.64395049418334]}",,,,Street/Sidewalk,,-73.99177698979982,MOBILE,BROOKLYN,Unspecified,2020-03-24T23:25:34.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,39 STREET,,45887639,,986532,173885
1806,ADDRESS,HPD,Department of Housing Preservation and Development,1007460075,MANHATTAN,,,NEW YORK,,04 MANHATTAN,GENERAL,2020-03-24T12:53:11.000,,,JANITOR/SUPER,,,364 WEST   23 STREET,10011,,,,40.74601497574642,"{'type': 'Point', 'coordinates': [-74.00021653657767, 40.74601497574642]}",,,,RESIDENTIAL BUILDING,,-74.00021653657767,PHONE,MANHATTAN,Unspecified,2020-03-24T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,,Open,WEST   23 STREET,,45888926,,984190,211070
1807,ADDRESS,HPD,Department of Housing Preservation and Development,2028060001,BRONX,,,BRONX,2020-03-25T11:57:55.000,05 BRONX,PLUMBING,2020-03-24T12:53:15.000,,,WATER SUPPLY,,,105 EAST  177 STREET,10453,,,,40.84961622441457,"{'type': 'Point', 'coordinates': [-73.90770932205969, 40.84961622441457]}",,,,RESIDENTIAL BUILDING,,-73.90770932205969,PHONE,BRONX,Unspecified,2020-03-25T11:57:55.000,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",,Closed,EAST  177 STREET,,45889097,,1009783,248829
1808,ADDRESS,HPD,Department of Housing Preservation and Development,2028060001,BRONX,,,BRONX,2020-03-24T20:56:39.000,05 BRONX,HEAT/HOT WATER,2020-03-24T12:53:15.000,,,ENTIRE BUILDING,,,105 EAST  177 STREET,10453,,,,40.84961622441457,"{'type': 'Point', 'coordinates': [-73.90770932205969, 40.84961622441457]}",,,,RESIDENTIAL BUILDING,,-73.90770932205969,PHONE,BRONX,Unspecified,2020-03-24T20:56:39.000,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",,Closed,EAST  177 STREET,,45889039,,1009783,248829
1809,,NYPD,New York City Police Department,3050900035,BROOKLYN,,,BROOKLYN,2020-03-24T12:59:17.000,17 BROOKLYN,Noise - Residential,2020-03-24T12:53:20.000,BEDFORD AVENUE,ROGERS AVENUE,Loud Music/Party,,,158 MARTENSE STREET,11226,BEDFORD AVENUE,ROGERS AVENUE,MARTENSE STREET,40.65147047461126,"{'type': 'Point', 'coordinates': [-73.95386017928587, 40.65147047461126]}",,,,Residential Building/House,,-73.95386017928587,MOBILE,BROOKLYN,Unspecified,2020-03-24T16:59:20.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,MARTENSE STREET,,45887051,,997053,176628
1810,,NYPD,New York City Police Department,4034500052,QUEENS,,,RIDGEWOOD,2020-03-24T13:17:27.000,05 QUEENS,Noise - Residential,2020-03-24T12:53:40.000,MYRTLE AVENUE,CYPRESS AVENUE,Loud Music/Party,,,1673 MADISON STREET,11385,MYRTLE AVENUE,CYPRESS AVENUE,MADISON STREET,40.70027243194229,"{'type': 'Point', 'coordinates': [-73.90791606753892, 40.70027243194229]}",,,,Residential Building/House,,-73.90791606753892,MOBILE,QUEENS,Unspecified,2020-03-24T17:17:30.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,MADISON STREET,,45888536,,1009783,194418
1811,,NYPD,New York City Police Department,3013690011,BROOKLYN,,,BROOKLYN,2020-03-24T13:26:15.000,08 BROOKLYN,Noise - Commercial,2020-03-24T12:54:14.000,PROSPECT PLACE,PARK PLACE,Loud Talking,,,187 BUFFALO AVENUE,11213,PROSPECT PLACE,PARK PLACE,BUFFALO AVENUE,40.67281800352241,"{'type': 'Point', 'coordinates': [-73.9251605608811, 40.67281800352241]}",,,,Store/Commercial,,-73.9251605608811,MOBILE,BROOKLYN,Unspecified,2020-03-24T17:26:16.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,BUFFALO AVENUE,,45889867,,1005010,184411
1812,,NYPD,New York City Police Department,,BROOKLYN,,,,2020-03-24T14:49:49.000,08 BROOKLYN,Noise - Residential,2020-03-24T12:54:28.000,NOSTRAND AVENUE,PACIFIC STREET,Loud Music/Party,,,NOSTRAND AVENUE,11216,NOSTRAND AVENUE,PACIFIC STREET,,40.67765120434446,"{'type': 'Point', 'coordinates': [-73.94976814040464, 40.67765120434446]}",,,,,,-73.94976814040464,PHONE,BROOKLYN,Unspecified,2020-03-24T18:49:50.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,NOSTRAND AVENUE,,45887236,,998183,186167
1813,,DOT,Department of Transportation,,Unspecified,,,,2020-03-25T05:03:21.000,0 Unspecified,Broken Parking Meter,2020-03-24T12:54:45.000,,,No Receipt,,,,,,,,,,,,,Street,,,PHONE,Unspecified,Unspecified,2020-03-25T09:03:27.000,The Department of Transportation inspected the condition you reported. You can find additional infor,,Closed,,,45888242,,,
1814,,NYPD,New York City Police Department,4019970032,QUEENS,,,CORONA,2020-03-24T20:42:47.000,04 QUEENS,Blocked Driveway,2020-03-24T12:54:54.000,41 AVENUE,42 AVENUE,No Access,,,41-02 111 STREET,11368,41 AVENUE,42 AVENUE,111 STREET,40.75077971488102,"{'type': 'Point', 'coordinates': [-73.85543338469797, 40.75077971488102]}",,,,Street/Sidewalk,,-73.85543338469797,PHONE,QUEENS,Unspecified,2020-03-25T00:42:50.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,111 STREET,,45886882,,1024305,212839
1815,ADDRESS,DSNY,Department of Sanitation,1016600001,MANHATTAN,,,NEW YORK,,11 MANHATTAN,Graffiti,2020-03-24T12:55:02.000,,,Graffiti,2020-04-23T12:55:02.000,N/A,2005 3 AVENUE,10029,,,,40.79422307721754,"{'type': 'Point', 'coordinates': [-73.94273154698422, 40.79422307721754]}",,,,Comercial,,-73.94273154698422,UNKNOWN,MANHATTAN,Unspecified,2020-03-24T12:55:02.000,The graffiti on this property has been scheduled to be removed by the City.,,Open,3 AVENUE,,45888081,,1000107,228639
1816,,NYPD,New York City Police Department,3025310033,BROOKLYN,,,BROOKLYN,2020-03-24T13:47:51.000,01 BROOKLYN,Noise - Vehicle,2020-03-24T12:55:26.000,WEST STREET,FRANKLIN STREET,Engine Idling,,,49 INDIA STREET,11222,WEST STREET,FRANKLIN STREET,INDIA STREET,40.731948937544715,"{'type': 'Point', 'coordinates': [-73.95866467519888, 40.731948937544715]}",,,,Street/Sidewalk,,-73.95866467519888,ONLINE,BROOKLYN,Unspecified,2020-03-24T17:47:53.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,INDIA STREET,,45890851,,995706,205948
1817,,NYPD,New York City Police Department,4013230018,QUEENS,,,WOODSIDE,2020-03-24T14:39:01.000,02 QUEENS,Blocked Driveway,2020-03-24T12:55:44.000,ROOSEVELT AVENUE,QUEENS BOULEVARD,No Access,,,41-56 55 STREET,11377,ROOSEVELT AVENUE,QUEENS BOULEVARD,55 STREET,40.743693321980736,"{'type': 'Point', 'coordinates': [-73.9098553392715, 40.743693321980736]}",,,,Street/Sidewalk,,-73.9098553392715,ONLINE,QUEENS,Unspecified,2020-03-24T18:39:04.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,55 STREET,,45887634,,1009229,210237
1818,ADDRESS,HPD,Department of Housing Preservation and Development,4157690028,QUEENS,,,Far Rockaway,2020-03-25T21:27:00.000,14 QUEENS,WATER LEAK,2020-03-24T12:56:09.000,,,DAMP SPOT,,,449 BEACH   21 STREET,11691,,,,40.599291066190894,"{'type': 'Point', 'coordinates': [-73.75555216355158, 40.599291066190894]}",,,,RESIDENTIAL BUILDING,,-73.75555216355158,PHONE,QUEENS,Unspecified,2020-03-25T21:27:00.000,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,,Closed,BEACH   21 STREET,,45888450,,1052133,157709
1819,ADDRESS,HPD,Department of Housing Preservation and Development,4157690028,QUEENS,,,Far Rockaway,2020-03-25T21:27:01.000,14 QUEENS,PAINT/PLASTER,2020-03-24T12:56:09.000,,,CEILING,,,449 BEACH   21 STREET,11691,,,,40.599291066190894,"{'type': 'Point', 'coordinates': [-73.75555216355158, 40.599291066190894]}",,,,RESIDENTIAL BUILDING,,-73.75555216355158,PHONE,QUEENS,Unspecified,2020-03-25T21:27:01.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,BEACH   21 STREET,,45886174,,1052133,157709
1820,ADDRESS,HPD,Department of Housing Preservation and Development,1021740175,MANHATTAN,,,NEW YORK,,12 MANHATTAN,HEAT/HOT WATER,2020-03-24T12:56:22.000,,,ENTIRE BUILDING,,,34 ARDEN STREET,10040,,,,40.86193738190631,"{'type': 'Point', 'coordinates': [-73.92714580413967, 40.86193738190631]}",,,,RESIDENTIAL BUILDING,,-73.92714580413967,MOBILE,MANHATTAN,Unspecified,2020-03-24T00:00:00.000,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,,Open,ARDEN STREET,,45888345,,1004402,253313
1821,ADDRESS,HPD,Department of Housing Preservation and Development,1021280044,MANHATTAN,,,NEW YORK,2020-03-24T20:52:29.000,12 MANHATTAN,HEAT/HOT WATER,2020-03-24T12:56:26.000,,,APARTMENT ONLY,,,2244 AMSTERDAM AVENUE,10032,,,,40.84204590792288,"{'type': 'Point', 'coordinates': [-73.93534280408296, 40.84204590792288]}",,,,RESIDENTIAL BUILDING,,-73.93534280408296,MOBILE,MANHATTAN,Unspecified,2020-03-24T20:52:29.000,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,,Closed,AMSTERDAM AVENUE,,45889934,,1002140,246064
1822,ADDRESS,HPD,Department of Housing Preservation and Development,2026660022,BRONX,,,BRONX,2020-03-24T22:03:01.000,01 BRONX,HEAT/HOT WATER,2020-03-24T12:56:31.000,,,ENTIRE BUILDING,,,800 EAST  160 STREET,10456,,,,40.82009873215081,"{'type': 'Point', 'coordinates': [-73.90332076651218, 40.82009873215081]}",,,,RESIDENTIAL BUILDING,,-73.90332076651218,ONLINE,BRONX,Unspecified,2020-03-24T22:03:01.000,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,Closed,EAST  160 STREET,,45889669,,1011009,238076
1823,,NYPD,New York City Police Department,,BRONX,,,,2020-03-24T15:13:41.000,11 BRONX,Illegal Parking,2020-03-24T12:57:15.000,COLDEN AVENUE,SACKET AVENUE,Parking Permit Improper Use,,,COLDEN AVENUE,10462,COLDEN AVENUE,SACKET AVENUE,,40.843927376215966,"{'type': 'Point', 'coordinates': [-73.85302987297503, 40.843927376215966]}",,,,Street/Sidewalk,,-73.85302987297503,ONLINE,BRONX,Unspecified,2020-03-24T19:13:43.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,COLDEN AVENUE,,45887354,,1024914,246777
1824,,DCA,Department of Consumer Affairs,3014340001,BROOKLYN,,,BROOKLYN,2020-03-25T12:05:50.000,16 BROOKLYN,Consumer Complaint,2020-03-24T12:57:30.000,GUNTHER PLACE,ROCKAWAY AVENUE,Bodega/Deli/Supermarket,,,2220 ATLANTIC AVENUE,11233,GUNTHER PLACE,ROCKAWAY AVENUE,ATLANTIC AVENUE,40.67637943509856,"{'type': 'Point', 'coordinates': [-73.91172728278623, 40.67637943509856]}",,,,,,-73.91172728278623,PHONE,BROOKLYN,Unspecified,2020-03-25T16:05:53.000,Your complaint was referred to the Department of Consumer Affairs. There was insufficient informatio,,Closed,ATLANTIC AVENUE,,45889321,,1008735,185712
1825,,DOHMH,Department of Health and Mental Hygiene,1018770061,MANHATTAN,,,NEW YORK,,07 MANHATTAN,Drinking Water,2020-03-24T12:57:36.000,WEST  105 STREET,WEST  106 STREET,Illness Caused by Drinking Water,,,936 WEST END AVENUE,10025,WEST  105 STREET,WEST  106 STREET,WEST END AVENUE,40.80159713190233,"{'type': 'Point', 'coordinates': [-73.96859765012891, 40.80159713190233]}",,,,1-3 Family Mixed Use Building,,-73.96859765012891,PHONE,MANHATTAN,Unspecified,,,,In Progress,WEST END AVENUE,,45887268,,992944,231322
1826,,DCA,Department of Consumer Affairs,2028400005,BRONX,,,BRONX,2020-03-25T11:35:35.000,04 BRONX,Consumer Complaint,2020-03-24T12:57:51.000,EAST CLARKE PLACE,MARCY PLACE,Retail Store,,,1330 JEROME AVENUE,10452,EAST CLARKE PLACE,MARCY PLACE,JEROME AVENUE,40.83866220358574,"{'type': 'Point', 'coordinates': [-73.91880495178997, 40.83866220358574]}",,,,,,-73.91880495178997,PHONE,BRONX,Unspecified,2020-03-25T15:35:38.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,JEROME AVENUE,,45888739,,1006717,244835
1827,,DCA,Department of Consumer Affairs,1016730001,MANHATTAN,,,NEW YORK,,11 MANHATTAN,Consumer Complaint,2020-03-24T12:58:57.000,EAST  101 STREET,EAST  102 STREET,Retail Store,,,1968 2 AVENUE,10029,EAST  101 STREET,EAST  102 STREET,2 AVENUE,40.78758451144943,"{'type': 'Point', 'coordinates': [-73.94465480277488, 40.78758451144943]}",,,,,,-73.94465480277488,PHONE,MANHATTAN,Unspecified,,,,In Progress,2 AVENUE,,45888667,,999576,226220
1828,ADDRESS,DEP,Department of Environmental Protection,1004460007,MANHATTAN,,,NEW YORK,,03 MANHATTAN,Noise,2020-03-24T12:59:00.000,E 4 ST,E 5 ST,Noise: Construction Before/After Hours (NM1),,N/A,84 2 AVENUE,10003,,,,40.72662552369269,"{'type': 'Point', 'coordinates': [-73.98908612388334, 40.72662552369269]}",,,,,,-73.98908612388334,PHONE,MANHATTAN,Unspecified,2020-03-25T16:39:00.000,The Department of Environmental Protection has inspected your complaint and determined that further investigation is required. More information will be available once the condition is resolved. Please visit nyc.gov/311 or call 311 at a later time to check the status of your complaint.,,Started,2 AVENUE,,45888906,,987275,204006
1829,ADDRESS,DEP,Department of Environmental Protection,4093020005,QUEENS,,,Richmond Hill,,09 QUEENS,Lead,2020-03-24T12:59:00.000,112 ST,113 ST,Lead Kit Request (Residential) (L10),,N/A,112-10 JAMAICA AVENUE,11418,,,,40.69749189488602,"{'type': 'Point', 'coordinates': [-73.83622626071717, 40.69749189488602]}",,,,,,-73.83622626071717,ONLINE,QUEENS,Unspecified,,,,Open,JAMAICA AVENUE,,45888936,,1029663,193434
1830,ADDRESS,HPD,Department of Housing Preservation and Development,3009950043,BROOKLYN,,,BROOKLYN,2020-03-25T21:28:50.000,06 BROOKLYN,HEAT/HOT WATER,2020-03-24T12:59:12.000,,,APARTMENT ONLY,,,276 7 AVENUE,11215,,,,40.66857251244594,"{'type': 'Point', 'coordinates': [-73.98019188365247, 40.66857251244594]}",,,,RESIDENTIAL BUILDING,,-73.98019188365247,PHONE,BROOKLYN,Unspecified,2020-03-25T21:28:50.000,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",,Closed,7 AVENUE,,45886055,,989745,182856
1831,ADDRESS,HPD,Department of Housing Preservation and Development,2032370133,BRONX,,,BRONX,2020-03-24T21:35:51.000,07 BRONX,HEAT/HOT WATER,2020-03-24T12:59:14.000,,,ENTIRE BUILDING,,,2575 SEDGWICK AVENUE,10468,,,,40.86812308318488,"{'type': 'Point', 'coordinates': [-73.90688459550866, 40.86812308318488]}",,,,RESIDENTIAL BUILDING,,-73.90688459550866,ONLINE,BRONX,Unspecified,2020-03-24T21:35:51.000,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,,Closed,SEDGWICK AVENUE,,45887586,,1010004,255572
